央视,#genre#
CCTV1,http://60.4.3.23:8888/rtp/239.253.92.83:8012
CCTV2,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/3/224/3221228118/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228126/index.m3u8
CCTV4,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/3/224/3221228091/index.m3u8
CCTV5,http://60.4.3.23:8888/rtp/239.253.92.181:6046
CCTV5+,http://60.4.3.23:8888/rtp/239.253.92.82:8013
CCTV6,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/3/224/3221228280/index.m3u8
CCTV7,http://[2409:8087:2001:20:2800:0:df6e:eb0e]/ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8
CCTV8,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/3/224/3221228194/index.m3u8
CCTV9,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8
CCTV10,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227717/index.m3u8
CCTV11,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8
CCTV12,http://[2409:8087:2001:20:2800:0:df6e:eb0e]/ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV13,http://[2409:8087:2001:20:2800:0:df6e:eb16]/ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8
CCTV14,http://[2409:8087:2001:20:2800:0:df6e:eb0e]/ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV15,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/3/224/3221227723/index.m3u8
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/3/224/3221228144/index.m3u8
CCTV16-4K,http://116.238.16.114:4022/rtp/239.45.0.12:5140
CCTV17,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/3/224/3221227726/index.m3u8
CCTV-4K,http://60.4.3.23:8888/rtp/239.253.93.134:6631
CETV1,http://116.238.16.114:4022/rtp/239.45.1.125:5140
CETV2,http://116.238.16.114:4022/rtp/239.45.1.52:5140
CETV3,http://123.112.246.1:5555/rtp/239.3.1.55:4120
CETV4,http://116.238.16.114:4022/rtp/239.45.0.21:5140
早期教育,http://60.4.3.23:8888/rtp/239.253.93.164:6440
CGTN,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8
CGTN测试,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL4_600p.smil/playlist.m3u8
CCTV4中文国际欧洲,http://60.4.3.23:8888/rtp/239.253.93.192:6370
CCTV4中文国际美洲,http://60.4.3.23:8888/rtp/239.253.93.193:6371
CGTN英文记录,http://60.4.3.23:8888/rtp/239.253.93.195:6373
CGTN西班牙语,http://60.4.3.23:8888/rtp/239.253.93.196:6374
CGTN法语,http://60.4.3.23:8888/rtp/239.253.93.197:6375
CGTN阿拉伯语,http://60.4.3.23:8888/rtp/239.253.93.198:6376
CGTN俄语,http://60.4.3.23:8888/rtp/239.253.93.199:6377
电视指南,http://60.4.3.23:8888/rtp/239.253.93.249:6427
第一剧场,http://60.4.3.23:8888/rtp/239.253.93.138:6428
怀旧剧场,http://60.4.3.23:8888/rtp/239.253.93.252:6430
风云剧场,http://60.4.3.23:8888/rtp/239.253.93.251:6429
风云音乐,http://60.4.3.23:8888/rtp/239.253.93.253:6431
风云足球,http://60.4.3.23:8888/rtp/239.253.93.254:6432
高尔夫网球,http://60.4.3.23:8888/rtp/239.253.93.122:6465
兵器科技,http://60.4.3.23:8888/rtp/239.253.93.47:6435
世界地理,http://60.4.3.23:8888/rtp/239.253.92.131:6113
女性时尚,http://60.4.3.23:8888/rtp/239.253.92.144:6114
央视台球,http://60.4.3.23:8888/rtp/239.253.93.231:6409
文化精品,http://60.4.3.23:8888/rtp/239.253.93.175:6439
中华美食,http://60.4.3.23:8888/rtp/239.253.93.248:6426
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb02]/ott.mobaibox.com/PLTV/3/224/3221228149/index.m3u8
CCTV1,http://123.112.246.1:5555/rtp/239.3.1.129:8008
CCTV2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8
